UA,"6,41"
SY,"6,69"
RU,"7,50"
BT,"8,71"
LK,"9,58"
IR,"9,60"
KZ,"9,76"
MD,"9,95"
BY,"10,11"
RO,"10,59"
MN,"11,13"
VN,"11,27"
TR,"11,48"
TN,"11,65"
GE,"12,20"
CN,"12,26"
BG,"12,69"
NP,"13,15"
LT,"13,35"
IN,"13,58"
AM,"14,58"
HU,"15,45"
KG,"15,47"
UZ,"16,50"
PL,"16,66"
AZ,"16,76"
LV,"16,99"
EG,"17,83"
RS,"18,24"
SO,"19,15"
SK,"19,30"
AR,"19,49"
TJ,"19,76"
DZ,"19,87"
PK,"20,43"
BA,"21,67"
TH,"23,30"
TW,"23,67"
CZ,"24,49"
IL,"24,61"
CO,"24,63"
MF,"24,66"
BR,"24,79"
DO,"26,78"
HR,"27,21"
MM,"27,33"
ME,"27,85"
AF,"28,15"
PS,"28,29"
SR,"28,61"
AL,"28,99"
MX,"29,01"
ID,"29,06"
MK,"29,79"
EE,"30,34"
RE,"30,99"
KR,"31,15"
BD,"31,34"
MY,"31,85"
FR,"32,16"
IT,"32,73"
MA,"32,74"
KH,"33,17"
PT,"33,31"
SG,"33,43"
CL,"33,55"
GB,"34,78"
PY,"35,57"
MT,"35,59"
SI,"36,41"
MC,"37,61"
SV,"38,00"
UY,"38,59"
GR,"38,72"
YE,"39,34"
CV,"39,82"
PE,"39,87"
NE,"40,00"
EC,"40,38"
GT,"40,85"
IQ,"41,08"
SN,"41,36"
DE,"41,46"
YT,"41,81"
CR,"42,43"
NC,"42,45"
ES,"43,43"
FI,"43,57"
GD,"44,40"
VC,"44,40"
HK,"44,46"
GI,"44,72"
KE,"45,28"
AT,"45,59"
ZW,"45,80"
BO,"45,96"
JM,"46,06"
JO,"46,40"
PR,"46,49"
FJ,"48,07"
AX,"48,31"
JP,"48,37"
SE,"48,40"
IE,"48,55"
CY,"48,70"
PM,"48,85"
PG,"48,95"
LC,"49,95"
LB,"50,03"
MU,"50,59"
DM,"51,43"
DK,"52,02"
BL,"52,17"
NL,"52,47"
NI,"52,50"
AO,"52,68"
SM,"53,40"
LA,"53,41"
PH,"53,71"
GY,"53,79"
BE,"54,53"
TG,"54,62"
AD,"55,83"
HN,"57,50"
MQ,"57,53"
BZ,"57,58"
LU,"57,80"
AU,"59,25"
GF,"59,45"
GP,"59,93"
US,"59,99"
ZA,"60,06"
IM,"60,17"
NZ,"62,94"
MG,"63,01"
PA,"66,05"
BH,"66,37"
AW,"66,95"
TT,"67,54"
BS,"67,78"
IS,"68,68"
SH,"69,21"
CH,"69,37"
SC,"70,56"
LY,"70,67"
MS,"71,04"
CI,"72,01"
ET,"73,21"
CM,"73,67"
ST,"74,00"
LI,"74,52"
GG,"74,91"
MH,"75,78"
CA,"76,14"
KW,"77,98"
NO,"79,16"
MV,"80,01"
FO,"80,60"
KN,"81,82"
BF,"81,96"
CC,"81,98"
GU,"82,88"
GA,"83,09"
ZM,"83,35"
BQ,"83,89"
SZ,"85,70"
VI,"85,97"
NG,"88,58"
PW,"89,98"
OM,"91,04"
BW,"94,28"
DJ,"94,62"
CW,"95,11"
JE,"97,27"
CK,"98,30"
AI,"99,54"
FM,"105,00"
NA,"105,60"
BB,"106,56"
SA,"107,27"
TL,"107,33"
PF,"109,57"
TC,"111,00"
AE,"111,20"
MZ,"111,86"
SX,"115,00"
ML,"115,40"
QA,"116,73"
HT,"123,75"
TZ,"127,29"
LR,"129,00"
BM,"129,00"
AG,"129,14"
LS,"129,91"
AS,"130,00"
GL,"130,29"
BN,"137,62"
CX,"148,30"
FK,"149,38"
GQ,"156,79"
VU,"160,13"
TM,"164,48"
KY,"170,03"
VG,"179,00"
WS,"192,84"
GH,"254,35"
MO,"307,74"
BI,"370,00"
KM,"414,01"
MR,"712,46"