KG;15,47;0,15;5,47;1052,8783009516;99,50132
IT;32,73;0,27;23,18;27895,0742725717;99,015793
RU;7,50;0,29;24,98;8940,21294722547;99,719566
MD;9,95;0,32;27,48;4126,81480300081;99,244392
BD;31,34;0,34;3,24;1777,27629501266;61,493832
LK;9,58;0,38;20,73;3465,8141756167;92,614166
CL;33,55;0,39;16,10;11718,5485303935;96,627548
ID;29,06;0,42;7,16;3280,30755144595;95,437683
BY;10,11;0,43;16,08;5283,94448178631;99,722038
VN;11,27;0,49;13,41;2162,50074383231;94,514267
DZ;19,87;0,51;1,83;3114,08073043678;79,608398
CN;12,26;0,52;2,09;8393,68072537849;96,357452
PK;20,43;0,59;2,14;1186,30910941568;56,440311
KZ;9,76;0,59;5,01;6716,63943394609;99,787849
UZ;16,50;0,60;2,10;1435,19396432147;99,995193
MN;11,13;0,60;5,25;3151,47142945513;98,367638
NP;13,15;0,61;5,22;1009,0429395773;64,663643
TR;11,48;0,63;8,86;7585,04068541969;95,688103
PL;16,66;0,64;55,40;13254,815704081;99,787422
GH;254,35;0,66;5,46;1832,48958772678;76,575897
IN;13,58;0,68;13,46;1821,96092080272;72,225304
LY;70,67;0,74;2,60;6414,60371631824;91,38887
UA;6,41;0,75;15,09;3302,10456962039;99,764107
TZ;127,29;0,75;4,54;967,425632435164;80,359497
MU;50,59;0,75;7,28;11071,0544858123;90,616043
AM;14,58;0,76;11,86;4024,13855827787;99,768417
MM;27,33;0,78;7,11;1269,08603877864;93,09005
KH;33,17;0,83;5,21;1377,34215477125;78,34594
BT;8,71;0,83;4,62;2719,83169379838;63,906818
HT;123,75;0,85;5,75;1200,58465196659;60,68935
NG;88,58;0,88;3,34;1779,18854779902;59,568081
MA;32,74;0,88;6,55;2802,78345254773;71,710548
MY;31,85;0,89;46,82;8223,62864461731;94,636993
CM;73,67;0,90;2,78;1262,06196028159;74,98558
BR;24,79;0,92;17,89;7628,82844968616;92,586807
SN;41,36;0,94;5,93;1276,6797872523;55,624851
NI;52,50;0,94;6,65;1718,55601016466;82,471848
MK;29,79;0,96;11,48;4854,59460187909;97,843758
AF;28,15;1,02;1,37;490,232314247094;38,168041
EG;17,83;1,04;4,71;2615,17260663242;75,842621
EC;40,38;1,06;8,48;4696,38070607536;94,515472
TH;23,30;1,06;30,61;6069,01639480222;93,983017
TN;11,65;1,09;5,66;3117,33584905201;81,054192
SG;33,43;1,09;72,75;48343,5972511389;96,774628
ZM;83,35;1,13;3,84;1049,04158263009;85,117264
IQ;41,08;1,14;2,69;4545,38263358079;79,721764
PE;39,87;1,15;7,98;5955,76338427538;94,374352
RO;10,59;1,18;61,08;10873,6931308655;98,757027
ES;43,43;1,24;55,84;25055,2956301947;98,11451
NE;40,00;1,28;2,77;526,352967240659;19,1026
RS;18,24;1,30;24,74;5770,76775226334;98,002892
SV;38,00;1,33;6,13;3398,07648775028;87,648216
LT;13,35;1,38;56,63;16504,322142161;99,82328
EE;30,34;1,39;70,90;19446,0121439282;99,823509
JO;46,40;1,41;14,54;4131,54277886755;98,014351
SA;107,27;1,47;12,67;19160,0942144652;94,842369
UY;38,59;1,51;22,16;13626,1880952028;98,442101
DO;26,78;1,51;10,69;7406,01631941455;92,465424
HN;57,50;1,56;5,93;2235,50112385079;88,424583
AO;52,68;1,61;4,15;1700,31846065712;71,164162
TL;107,33;1,67;0,89;1418,53335279106;64,066139
HU;15,45;1,70;99,74;13581,6931617809;99,380882
ET;73,21;1,71;1,12;744,143476533497;49,031521
SI;36,41;1,72;65,46;20746,3207024567;99,71476
PH;53,71;1,77;8,77;3471,83986180631;96,618027
GE;12,20;1,80;13,50;3977,48712965705;99,759621
AZ;16,76;1,82;4,89;3501,65035580474;99,80526
TT;67,54;1,90;29,70;14260,5577754574;98,969582
GT;40,85;1,94;7,61;3929,84326917633;79,074211
SR;28,61;1,94;4,42;4611,48023923375;95,538986
BI;370,00;2,10;4,04;199,88772761233;85,496094
BH;66,37;2,12;10,87;19490,5917854671;95,717262
OM;91,04;2,12;12,25;9188,76162466458;93,971649
ME;27,85;2,12;25,07;7628,6844826724;98,719948
BO;45,96;2,18;5,06;2986,56981103908;95,141922
BN;137,62;2,23;8,97;24693,8753198555;96,656532
SZ;85,70;2,24;4,51;2920,06613630358;87,470192
KE;45,28;2,25;8,20;1492,07039951071;78,023399
PG;48,95;2,26;2,67;2338,57324406126;63,433491
BG;12,69;2,26;46,22;8260,45733984195;98,38858
HR;27,21;2,35;33,82;12495,6520175361;99,272591
CR;42,43;2,36;16,42;10791,9853849616;97,647247
AR;19,49;2,38;6,20;8160,57202868847;98,089973
BA;21,67;2,39;15,66;5113,44745542827;98,485764
PY;35,57;2,53;16,50;4885,11863767675;95,53611
CI;72,01;2,58;5,55;2115,36891032062;43,26532
LR;129,00;2,59;6,83;379,586074357333;47,60014
TJ;19,76;2,60;1,01;947,952945071323;99,781052
LS;129,91;2,66;7,43;1130,66611767879;79,360931
ZA;60,06;2,67;14,04;4862,22280639724;94,597939
JM;46,06;2,74;20,01;5040,16108936179;88,499901
MZ;111,86;2,79;3,47;381,872116741786;58,836552
AL;28,99;2,80;12,36;4319,48763879351;97,553902
CO;24,63;2,80;8,80;5246,15742406164;94,577057
BZ;57,58;2,97;16,57;3549,71620616658;82,776817
LA;53,41;3,19;4,47;2034,73940607107;79,867462
QA;116,73;3,20;23,98;45338,1717033259;97,757088
KM;414,01;3,21;4,85;1228,46520754149;78,13739
MV;80,01;3,24;5,88;8433,12567542371;99,321022
ML;115,40;3,28;3,45;797,522856199878;33,068871
LV;16,99;3,49;52,32;13773,7448666177;99,892693
MX;29,01;3,62;16,19;7749,90497867507;94,545593
PT;33,31;3,85;37,99;18590,6191907488;95,428108
BW;94,28;3,92;2,78;5617,68464805211;88,224411
PA;66,05;4,49;36,55;13274,4370014398;95,038231
BF;81,96;4,52;4,19;672,730660197173;37,7467
TG;54,62;4,69;4,03;616,76318966814;66,53759
CV;39,82;4,78;6,64;2997,5147732021;88,465424
LB;50,03;4,81;2,34;5952,84324562508;94,051102
GA;83,09;4,82;4,37;5003,58455245096;83,237877
MG;63,01;5,14;18,00;453,960700393644;64,656303
GY;53,79;5,25;4,43;6339,71890410458;87,535316
MR;712,46;5,56;1,47;1408,71769177789;52,123562
VU;160,13;6,06;2,22;2862,23850894513;85,058678
AE;111,20;7,62;28,33;39305,7796297503;92,986366
GR;38,72;8,16;26,01;16096,9264707927;95,29287
SC;70,56;8,64;3,96;14587,4332055692;95,321083
CY;48,70;8,84;15,62;24307,1084019286;99,059776
YE;39,34;15,98;0,65;745,893154705334;69,961952
ST;74,00;30,97;1,99;1455,72683008523;91,747108
GQ;156,79;49,67;0,75;3302,10555377672;95,195663
